experiment	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
tdT_Expression	1.59734695671469e-283	0.515253203490866	0.976	0.711	2.36726818985117e-279	1	Fn1	0.743353241478425
tdT_Expression	5.93616597350765e-283	0.493751596044727	0.991	0.774	8.79739797273834e-279	1	Col1a2	0.712332979044739
tdT_Expression	7.09757852567913e-281	0.579413769229457	0.894	0.511	1.05186113750565e-276	1	Col6a3	0.83591737149012
tdT_Expression	1.34521314475686e-280	0.699941250879164	0.747	0.429	1.99360588052967e-276	1	Uap1	1.00980177155699
tdT_Expression	1.93850174892185e-280	0.815368020842338	0.977	0.803	2.87285959190218e-276	1	Jun	1.17632740016869
tdT_Expression	1.76425498963706e-277	0.574770727824125	0.591	0.225	2.61462589464212e-273	1	Ccn3	0.829218878680005
tdT_Expression	1.48500021951167e-276	0.65423101635445	0.636	0.282	2.2007703253163e-272	1	Ackr3	0.943855842890312
tdT_Expression	1.6339608212913e-275	0.487633918781866	0.565	0.227	2.42152993715371e-271	1	Spry2	0.70350703639585
tdT_Expression	9.28871135894762e-272	0.477160726363411	0.706	0.314	1.37658702339604e-267	1	Vcan	0.688397413631469
tdT_Expression	1.28037791704296e-269	0.41871022221799	0.455	0.146	1.89752007305766e-265	1	Ace	0.604071161163409
tdT_Expression	1.8483616862127e-268	0.476007712059514	0.977	0.654	2.73927201896723e-264	1	Col5a2	0.686733965613163
tdT_Expression	1.58564522934949e-265	0.410720900042267	0.531	0.192	2.34992622989594e-261	1	Svep1	0.592545005680431
tdT_Expression	8.69212596380979e-264	0.522621136834763	0.557	0.216	1.28817306783661e-259	1	Hmcn2	0.753982922375265
tdT_Expression	1.23303555972994e-259	0.732123144550963	0.346	0.09	1.82735869951977e-255	1	C3	1.05623042996371
tdT_Expression	4.81821988300961e-257	0.487250964593893	0.757	0.389	7.14060186662024e-253	1	Ebf1	0.702954550287974
tdT_Expression	1.66347779297002e-251	0.459428608635187	0.767	0.385	2.46527408918157e-247	1	Ogn	0.6628153753205
tdT_Expression	3.57066421439409e-251	0.846919578231659	0.494	0.179	5.29172436573203e-247	1	Eln	1.22184667554659
tdT_Expression	3.38371597691851e-248	0.709603761112026	0.88	0.605	5.01466707779324e-244	1	Id3	1.02374182715248
tdT_Expression	1.30047283172937e-247	0.465753870305983	0.842	0.515	1.92730073662293e-243	1	Rnase4	0.671940798965283
tdT_Expression	2.06733285567452e-247	0.455318828501608	0.382	0.113	3.06378729210964e-243	1	Gpc3	0.656886215902642
tdT_Expression	2.30392740241962e-246	0.555073052207296	0.599	0.272	3.41442041038588e-242	1	Irf1	0.800801139750566
tdT_Expression	2.19534413958158e-245	0.456267826134905	0.884	0.583	3.2535000148599e-241	1	Lrp1	0.658255330082015
tdT_Expression	7.71652491210536e-244	0.440373630252999	0.827	0.455	1.14358899197401e-239	1	Fndc1	0.635324852504272
tdT_Expression	1.0665375650031e-242	0.492164254988943	0.97	0.865	1.5806086713346e-238	1	Marcks	0.710042929975359
tdT_Expression	1.86643333884503e-236	-1.7646123291111	0.039	0.376	2.76605420816834e-232	1	Fcer1g	-2.5457974563001
tdT_Expression	1.15815846799643e-232	0.581104256608155	0.77	0.488	1.71639084957071e-228	1	Pnp	0.838356229248052
tdT_Expression	2.08444375653542e-231	-2.87305217537546	0.081	0.415	3.08914564718549e-227	1	Lyz2	-4.14493812562942
tdT_Expression	4.66788732894856e-229	0.444070427834955	0.645	0.316	6.91780902150177e-225	1	Mgst1	0.64065820404293
tdT_Expression	1.11425678790303e-227	-1.23552581493762	0.1	0.434	1.65132855967229e-223	1	Srgn	-1.78248696610079
tdT_Expression	6.99884996979901e-227	0.449406695880137	0.976	0.708	1.03722956552421e-222	1	Bgn	0.648356811488568
tdT_Expression	9.41425824777957e-224	0.457759822834114	0.756	0.396	1.39519307232093e-219	1	Ctsk	0.660407826320987
