Endothelial	FAPs	Fibrogenic	M2 Macrophages	Monocytes	Myeloid	Myonuclei	NK Cells	Neutrophils	Pericytes	T Cells	Tenocytes
Sgce	Garem1	Selplg	Msr1	Runx3	Mindy1	Acod1	Odc1	Arrdc4	Plat	Mctp2	Socs2
Plekhg5	Trim2	Cthrc1	Lpin2	Diaph3	Glipr1	Col12a1	Slc26a11	Entpd1	C3	Ktn1	Elovl6
Itgb3	Tgfb2	Nsg1	Ankrd33b	Ctsb	Scin	Rnf11	Epas1	Il15	Hdgfl3	Sema6d	Prg4
Rdh10	Slit3	Tshz2	Pik3r1	Bst2	Ednrb	Icam1	Gem	Ccnd2	Dysf	Fnbp1l	Tgfbr3
Lix1l	Lrig3	Tnc	Arid5b	Tpx2	Ccnf	Mxra8	Rsad2	Wwtr1	Osmr	Nrg1	Cdc42bpa
Tnks1bp1	Stard13	Thy1	Cytip	Ifngr1	Apoe	Tnfaip2	Ybx3	Igf1r	Jag1	Gnb4	Creb3l1
Arhgap29	Syne1	Csf1	Irf7	Ms4a6c	Tmem123	F10	Socs5	Ptgs2	Fndc1	Olfm1	Axl
Irf1	Thsd7a	Cxcl1	Odc1	Abca8a	Mylip	Gsr	Nfkbid	Rab20	Fhl2	Vgll4	Ybx3
Scarb1	Zfp260	Mcc	Fam20c	Tnfaip3	Slc16a3	Tpm1	Tnfaip3	Cd300lf	Col6a3	Itgb3	Bmpr1a
Pdcd4	Clmp	4930523C07Rik	Cd83	Ccn1	Sema3c	Col18a1	Mid2	Klf3	Kif15	Traf1	Fcgrt
Trim2	Svep1	Col5a2	Rarres2	Gpr171	Cadm1	Prg4	Chd7	Txnip	Mpdz	Tnfaip3	Tanc1
