0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Hk2	Csmd1	Olr1	Rgl1	Inpp5d	Ccdc85a	Calcrl	Rnf149	Zfp664	Vcam1	Glipr1	Apoe	Myl1	Cobll1	Nav2	Tes
Birc3	Epsti1	Pid1	Aspn	Tfec	Irf1	Cthrc1	Ereg	Fbn1	Lama2	Cfh	Malt1	Ank3	Itprid2	Otulinl	Abcg2
Ets1	Nrp1	Adgre1	Myl2	Rasgef1b	Ablim3	Fgd5	Palmd	Meox2	Has1	Wdfy3	Zdhhc14	Anxa3	Ltbp1	Htr7	Pip4k2a
Myl1	Fxyd5	Selplg	Tnmd	Baz1a	Ypel2	Aplp2	Angpt1	Csrp2	Uap1	Rab11fip1	Birc3	Zfp664	Gnas	Ltbp1	Itpr1
Hmcn1	Tnnc2	Pik3r5	Mgll	Clec4d	Dock6	Cmah	Nr2f2	Tnnc2	Lsamp	Igsf6	Bank1	Col8a1	Serpine1	Igfbp7	Syne2
Tnfaip3	Pla1a	Itprid2	Cpeb4	Slc7a8	Bmp6	Adap2	Scarb1	Pltp	Limch1	Cd74	Snx30	Bmp5	Rnf180	Slfn5	Dab2ip
Rdh10	Pdgfrl	Fli1	Angptl2	Ppm1h	Sema6d	Col4a2	Tnfaip3	Postn	Ugcg	Mfsd1	Pappa	Zfp36l1	Unc93b1	Col18a1	Kank3
Fxyd6	Slc10a6	Ms4a6c	Tpm1	Cd40	Adamts1	Clec10a	Hacd4	Rilpl2	Ncapg2	Adgre1	Rnasel	Ets1	Gfra1	Fgf1	Egfl7
Epsti1	Tnxb	Vps26a	Diaph3	Aph1c	Entpd1	Ptprg	Sparcl1	Dab2ip	Cd55	Ltc4s	Tbc1d22a	Spon1	Mef2c	Dennd5b	Epha4
Angpt1	Ndufc1	Ggta1	Tm4sf1	Igsf6	Pitpnc1	Epha4	Col5a1	Itga1	Emb	Arhgap17	Vps26a	Cobll1	Etl4	Myo1f	Nrp1
